CODI_ESTACIO,NOM_ESTACIO,EMPLACAMENT,CODI_BARRI,NOM_BARRI,CODI_DISTRICTE,NOM_DISTRICTE,CODI_MUNICIPI,NOM_MUNICIPI,CODI_COMARCA,NOM_COMARCA,CODI_PROVINCIA,NOM_PROVINCIA,ALTITUD,LATITUD,LONGITUD,CODI_XARXA,NOM_XARXA,CODI_ESTAT,DATA_ALTA,DATA_BAIXA,ACRÒNIM
D5,Barcelona - Observatori Fabra,Observatori Fabra,22,"Vallvidrera, el Tibidabo i les Planes",5,Sarrià-Sant Gervasi,80193,Barcelona,13,Barcelonès,8,Barcelona,411,41.41864,2.12379,1,XEMA,2,1995-11-03,,TM
D5,Barcelona - Observatori Fabra,Observatori Fabra,22,"Vallvidrera, el Tibidabo i les Planes",5,Sarrià-Sant Gervasi,80193,Barcelona,13,Barcelonès,8,Barcelona,411,41.41864,2.12379,1,XEMA,2,1995-11-03,,TN
D5,Barcelona - Observatori Fabra,Observatori Fabra,22,"Vallvidrera, el Tibidabo i les Planes",5,Sarrià-Sant Gervasi,80193,Barcelona,13,Barcelonès,8,Barcelona,411,41.41864,2.12379,1,XEMA,2,1995-11-03,,TX
D5,Barcelona - Observatori Fabra,Observatori Fabra,22,"Vallvidrera, el Tibidabo i les Planes",5,Sarrià-Sant Gervasi,80193,Barcelona,13,Barcelonès,8,Barcelona,411,41.41864,2.12379,1,XEMA,2,1995-11-03,,VVM10
D5,Barcelona - Observatori Fabra,Observatori Fabra,22,"Vallvidrera, el Tibidabo i les Planes",5,Sarrià-Sant Gervasi,80193,Barcelona,13,Barcelonès,8,Barcelona,411,41.41864,2.12379,1,XEMA,2,1995-11-03,,VVX10
X2,Barcelona - Zoo,Zoo,4,"Sant Pere, Santa Caterina i la Ribera",1,Ciutat Vella,80193,Barcelona,13,Barcelonès,8,Barcelona,7,41.38943,2.18847,1,XEMA,2,2006-09-22,,HRM
X2,Barcelona - Zoo,Zoo,4,"Sant Pere, Santa Caterina i la Ribera",1,Ciutat Vella,80193,Barcelona,13,Barcelonès,8,Barcelona,7,41.38943,2.18847,1,XEMA,2,2006-09-22,,HRN
X2,Barcelona - Zoo,Zoo,4,"Sant Pere, Santa Caterina i la Ribera",1,Ciutat Vella,80193,Barcelona,13,Barcelonès,8,Barcelona,7,41.38943,2.18847,1,XEMA,2,2006-09-22,,HRX
X2,Barcelona - Zoo,Zoo,4,"Sant Pere, Santa Caterina i la Ribera",1,Ciutat Vella,80193,Barcelona,13,Barcelonès,8,Barcelona,7,41.38943,2.18847,1,XEMA,2,2006-09-22,,TM
X2,Barcelona - Zoo,Zoo,4,"Sant Pere, Santa Caterina i la Ribera",1,Ciutat Vella,80193,Barcelona,13,Barcelonès,8,Barcelona,7,41.38943,2.18847,1,XEMA,2,2006-09-22,,TN
